Model,Input,Output
gpt-5.2,1.75,14.0
gpt-5.1,1.25,10.0
gpt-5,1.25,10.0
gpt-5-mini,0.25,2.0
gpt-5-nano,0.05,0.4
gpt-5.2-chat-latest,1.75,14.0
gpt-5.1-chat-latest,1.25,10.0
gpt-5-chat-latest,1.25,10.0
gpt-5.3-codex,1.75,14.0
gpt-5.2-codex,1.75,14.0
gpt-5.1-codex-max,1.25,10.0
gpt-5.1-codex,1.25,10.0
gpt-5-codex,1.25,10.0
gpt-5.2-pro,21.0,168.0
gpt-5-pro,15.0,120.0
gpt-4.1,2.0,8.0
gpt-4.1-mini,0.4,1.6
gpt-4.1-nano,0.1,0.4
gpt-4o,2.5,10.0
gpt-4o-2024-05-13,5.0,15.0
gpt-4o-mini,0.15,0.6
gpt-realtime,4.0,16.0
gpt-realtime-1.5,4.0,16.0
gpt-realtime-mini,0.6,2.4
gpt-4o-realtime-preview,5.0,20.0
gpt-4o-mini-realtime-preview,0.6,2.4
gpt-audio,2.5,10.0
gpt-audio-1.5,2.5,10.0
gpt-audio-mini,0.6,2.4
gpt-4o-audio-preview,2.5,10.0
gpt-4o-mini-audio-preview,0.15,0.6
o1,15.0,60.0
o1-pro,150.0,600.0
o3-pro,20.0,80.0
o3,2.0,8.0
o3-deep-research,10.0,40.0
o4-mini,1.1,4.4
o4-mini-deep-research,2.0,8.0
o3-mini,1.1,4.4
o1-mini,1.1,4.4
gpt-5.1-codex-mini,0.25,2.0
codex-mini-latest,1.5,6.0
gpt-5-search-api,1.25,10.0
gpt-4o-mini-search-preview,0.15,0.6
gpt-4o-search-preview,2.5,10.0
computer-use-preview,3.0,12.0
gpt-image-1.5,5.0,10.0
chatgpt-image-latest,5.0,10.0
